#moduleID; x; y; z; horizontal? 0 -> false, 1 -> true
0;0;460;0;1
1;0;420;0;1
2;0;380;0;1
3;0;340;0;1
4;0;300;0;1
5;0;260;0;1
6;0;220;0;1
7;0;180;0;1
8;0;140;0;1
9;0;100;0;1
10;0;60;0;1
11;0;20;0;1
12;0;-20;0;1
13;0;-60;0;1
14;0;-100;0;1
15;0;-140;0;1
16;0;-180;0;1
17;0;-220;0;1
18;0;-260;0;1
19;0;-300;0;1
20;0;-340;0;1
21;0;-380;0;1
22;0;-420;0;1
23;0;-460;0;1
24;460;0;4;0
25;420;0;4;0
26;380;0;4;0
27;340;0;4;0
28;300;0;4;0
29;260;0;4;0
30;220;0;4;0
31;180;0;4;0
32;140;0;4;0
33;100;0;4;0
34;60;0;4;0
35;20;0;4;0
36;-20;0;4;0
37;-60;0;4;0
38;-100;0;4;0
39;-140;0;4;0
40;-180;0;4;0
41;-220;0;4;0
42;-260;0;4;0
43;-300;0;4;0
44;-340;0;4;0
45;-380;0;4;0
46;-420;0;4;0
47;-460;0;4;0
48;0;460;8;1
49;0;420;8;1
50;0;380;8;1
51;0;340;8;1
52;0;300;8;1
53;0;260;8;1
54;0;220;8;1
55;0;180;8;1
56;0;140;8;1
57;0;100;8;1
58;0;60;8;1
59;0;20;8;1
60;0;-20;8;1
61;0;-60;8;1
62;0;-100;8;1
63;0;-140;8;1
64;0;-180;8;1
65;0;-220;8;1
66;0;-260;8;1
67;0;-300;8;1
68;0;-340;8;1
69;0;-380;8;1
70;0;-420;8;1
71;0;-460;8;1
