runId	   nEvents	tpcCounter	sbtLeftCounter	sbtRightCounter
 1160	     37854	    7844	   37851	     397
 1161	     37594	    7605	   37592	     327
 1162	     20728	    4255	   20728	     208
 1163	     38177	    7858	   38176	     374
 1164	     34805	    7077	   34805	     346
 1165	     36770	    7543	   36768	     313
 1166	     36203	    7350	   36203	     350
 1167	     36276	    7383	   36276	     365
 1168	     35067	    7317	   35067	     346
 1169	     33875	    6855	   33875	     334
 1170	     33139	    6872	   33139	     326
 1171	     33351	    6834	   33351	     289
 1172	     35683	    7312	   35683	     294
 1173	      3243	     692	    3243	      32
 1174	     34904	    7269	   34904	     324
 1175	     34334	    7115	   34334	     284
 1176	     33954	    6911	   33954	     338
 1177	      2061	     429	    2061	      21
 1178	     36231	    7454	   36231	     313
 1179	     36322	    7432	   36322	     386
 1180	     24124	    4905	   24124	     243
 1183	     10787	    2249	   10787	      94
 1184	     62623	   12750	   62621	     579
 1185	     60764	   12410	   60764	     608
 1186	     34703	    7219	   34703	     312
 1188	     11618	    2328	   11618	     112
 1189	     72204	   14988	   72204	     648
 1190	     61265	   12478	   61264	     581
 1191	     57658	   11842	   57658	     536
 1192	     58149	   11917	   58149	     552
 1194	      4751	     971	    4751	      56
 1195	     68262	   13879	   68262	     662
 1196	     66888	   13689	   66888	     638
 1197	     67508	   13752	   67506	     683
 1198	     66772	   13637	   66772	     609
 1199	     70233	   14470	   70233	     708
 1200	     70031	   14404	   70031	     642
 1201	     71519	   14814	   71519	     690
 1202	     67920	   13981	   67920	     639
 1203	     68411	   14028	   68411	     621
 1204	     65155	   13369	   65155	     577
 1205	     24754	    5021	   24754	     250
 1206	     66019	   13743	   66018	     586
 1207	     63067	   12889	   63067	     605
 1208	     66375	   13801	   66374	     632
 1210	      4937	    1093	    4937	      44
 1211	     75917	   15890	   75917	     726
 1212	     76373	   15973	   76371	     743
 1213	     74678	   15281	   74678	     710
 1214	     74795	   15448	   74795	     720
 1215	     74661	   15442	   74659	     716
 1216	      9163	    1945	    9163	      95
 1217	     71249	   14675	   71248	     680
 1218	     69106	   14256	   69105	     667
 1219	     69773	   14506	   69773	     695
 1221	     74066	   15243	   74066	     687
 1222	     71826	   14798	   71826	     661
 1223	     72002	   14639	   72001	     674
 1225	     78812	   16176	   78812	     727
 1226	     78365	   16099	   78365	     769
 1227	     82836	   17150	   82836	     769
 1228	       214	      51	     214	       1
 1229	       497	     120	     497	       4
 1230	       160	      39	     160	       1
 1231	       147	      32	     147	       1
 1232	     84782	   17268	   84782	     795
 1234	     84740	   17562	   84737	     744
 1235	     85193	   17611	   85192	     795
 1236	     84254	   17315	   84254	     809
 1238	      5467	    1092	    5467	      49
 1239	     82201	   16711	   82201	     773
 1240	     83559	   17318	   83557	     754
 1241	     83742	   17317	   83741	     786
 1242	     83874	   17366	   83873	     821
 1243	     85295	   17380	   85294	     779
 1244	     81932	   16827	   81932	     787
 1245	     82884	   17099	   82883	     750
 1246	     80115	   16334	   80115	     802
 1247	     73800	   15422	   73800	     737
 1268	     52437	    9433	   52437	     428
 1269	     51054	    9150	   51054	     398
 1273	     70738	   14866	   70737	     681
 1274	     72175	   14958	   72175	     722
 1275	     69567	   14334	   69567	     665
 1276	     68346	   14182	   68345	     671
 1277	     70957	   14716	   70956	     658
 1279	     69942	   14668	   69941	     641
 1280	     68312	   14110	   68312	     623
 1282	     75761	   15690	   75761	     696
 1283	     76248	   15888	   76244	     729
 1284	     58437	   12352	   58436	     576
 1285	      6622	    1399	    6622	      61
 1286	     65167	   13603	   65167	     593
 1287	     62612	   12991	   62612	     640
 1288	     63759	   13307	   63759	     596
 1289	     60367	   12804	   60367	     557
 1290	     63416	   13300	   63416	     621
 1291	     63287	   13061	   63287	     593
 1292	     63916	   13424	   63916	     609
 1293	     60706	   12508	   60706	     580
 1294	     58227	   12180	   58227	     538
 1295	     55870	   11631	   55870	     561
 1296	     54076	   11279	   54075	     503
 1297	     26505	    5504	   26505	     243
 1298	     59395	   12465	   59395	     561
 1299	     16103	    3367	   16103	     171
 1300	     54971	   11528	   54971	     518
